,aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
654,416,-2979,1237.454102,3417.94458,986.3793945,48.63501605,64.07309505,111.1344452,177.8728704,23.98226131,48.63501605,64.07309505,0.747163951,0.037107473,2447.45462,0.759055201,7145,87.43,2553.7649766918353,2594.4086101787607,79287.5142974584,4265.793657892565
655,416,-2979,1286.479736,3411.48877,895.5690918,50.18080261,65.9111056,110.6626434,183.1947185,24.89785952,50.18080261,65.9111056,0.751949393,0.09123527,2597.682576,0.761340629,7145,87.43,2565.2669098278166,2597.3050059782363,84793.30173175612,4561.156366018945
656,416,-2979,1275.839966,3419.719727,836.6785278,50.38648822,65.58813595,108.1838074,182.9558447,24.93724031,50.38648822,65.58813595,0.754830257,0.101337707,2595.549167,0.768225648,7145,87.43,2581.30792039938,2627.116403252958,83679.96514045137,4562.41386540294
657,416,-2979,1271.960693,3417.290283,765.9370728,50.18954222,65.42042696,104.4105606,182.388551,24.816587,50.18954222,65.42042696,0.755390665,0.089178651,2578.793044,0.767184571,7145,87.43,2581.389179373408,2621.6923797458235,83212.21161239748,4526.261343695437
658,416,-2979,1273.253052,3419.821045,680.5941772,50.44097312,65.55216682,101.0082092,182.9755012,24.75395935,50.44097312,65.55216682,0.753298032,0.067879041,2596.930874,0.769478349,7145,87.43,2576.1444629906837,2631.478251582055,83464.49646877813,4529.368118750676
659,416,-2979,1271.218018,3418.217773,617.5200806,50.5387261,65.385154,98.74115753,182.8402459,24.68510643,50.5387261,65.385154,0.752942603,0.078867284,2595.3344,0.772938855,7145,87.43,2573.721787623483,2642.0733316032697,83118.78587450477,4513.430929728872
660,416,-2979,1273.428467,3415.986084,533.2352295,51.14237311,66.09963249,93.611763,184.9134186,24.54043546,51.14237311,66.09963249,0.742051908,0.023050846,2655.032261,0.773716452,7145,87.43,2534.838991333648,2643.004632993854,84173.1536710041,4537.855814841264
661,416,-2979,1268.780396,3419.431885,460.6673889,51.14092261,65.70164897,91.5158844,184.2491408,24.651843,51.14092261,65.70164897,0.748921299,0.057236985,2638.971558,0.778381112,7145,87.43,2560.8853691562185,2661.6211930545564,83360.96419800959,4542.080891886494
662,416,-2979,1261.249512,3424.7854,390.571991,51.21970916,65.53492672,88.35440826,184.0876598,24.50552854,51.21970916,65.53492672,0.746540199,0.054531904,2636.330218,0.781563538,7145,87.43,2556.7399740482947,2676.6873941147455,82655.89434455577,4511.165401090711
663,416,-2979,1263.677612,3428.172852,301.7113647,51.14142986,65.96403714,83.31972504,184.6863466,25.03304549,51.14142986,65.96403714,0.758701609,0.044530442,2649.536917,0.7752926,7145,87.43,2600.9602587425193,2657.8370436764953,83357.27693095451,4623.261715819707
664,416,-2979,1248.886597,3430.326904,229.8972931,51.04295837,65.24773621,79.39596558,183.3510037,25.42864991,51.04295837,65.24773621,0.779121053,0.046278663,2615.719482,0.782294702,7145,87.43,2672.63990957871,2683.5265631272623,81487.02323726057,4662.368483734415
665,98,-1828,1297.758667,3530.34375,1145.607178,50.26019586,61.78366276,114.8413544,176.4638023,18.94114466,50.26019586,61.78366276,0.608243572,0.083049094,2438.864709,0.813486828,7145,88.27,2147.308892887875,2871.8881389371254,80180.28382579514,3342.4264066179403
666,98,-1828,1305.383423,3528.191895,1077.895996,50.71535565,62.41472398,110.8889465,178.1797552,19.23135482,50.71535565,62.41472398,0.613330647,0.085191762,2486.087506,0.812554353,7145,88.27,2163.9482177005057,2866.847682501569,81475.14603461258,3426.63809399194
667,98,-1828,1300.490479,3530.55542,1023.020935,51.02033844,62.13483199,108.3993912,178.1726961,19.15815619,51.02033844,62.13483199,0.613768714,0.061559871,2489.822257,0.82112298,7145,88.27,2166.94445983913,2899.0201875255516,80805.75741725964,3413.460340677204
668,98,-1828,1299.094727,3528.346436,962.0645142,51.36676335,61.10541654,102.3673019,177.0021831,19.01479461,51.36676335,61.10541654,0.622274172,0.007852163,2465.197915,0.840625369,7145,88.27,2195.598856991051,2966.0175247223347,79381.72441825258,3365.660157168113
669,98,-1828,1298.841431,3530.893311,904.9573975,51.1427548,61.16772982,99.81832886,176.7684754,19.13612034,51.1427548,61.16772982,0.625196735,0.033329313,2456.950242,0.836106799,7145,88.27,2207.502969670539,2952.203903870721,79447.18173043018,3382.66281757273
