aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
839,-2455,1325.650024,3786.810059,730.7411499,46.02051077,60.70896621,101.0927963,168.4450428,16.23435613,46.02051077,60.70896621,0.529664119,0.096243309,2194.290654,0.7580513,4217,53.71,2005.737413720573,2870.5962880780266,80478.84251330169,2734.5968131482923
839,-2455,1277.371094,3797.31543,718.1894531,44.14071918,58.71055924,101.1025391,162.369942,16.4950528,44.14071918,58.71055924,0.555076353,0.119830512,2035.380003,0.751836122,4217,53.71,2107.800000075027,2854.9589069019626,74995.17128575062,2678.3007664229376
839,-2455,1325.178467,3797.552734,654.7833862,45.80755301,61.1219775,99.64290619,168.8269389,17.37675585,45.80755301,61.1219775,0.561782807,0.112923985,2198.995653,0.749444879,4217,53.71,2133.3998346370445,2846.056449228749,80997.52844345849,2933.664498168167
839,-2455,1315.012207,3795.354248,620.0485229,45.56498568,61.70110113,99.77646637,169.4477522,16.76794651,45.56498568,61.70110113,0.533443535,0.144866951,2208.076085,0.738479295,4217,53.71,2024.6071866303866,2802.790529338295,81137.7011712915,2841.290845129335
839,-2455,1322.182007,3800.293945,590.5552368,46.03272327,62.97447948,102.7167206,172.2636818,16.60023028,46.03272327,62.97447948,0.505764762,0.203239676,2276.780359,0.730974256,4217,53.71,1922.0547626229659,2777.91703902768,83263.72366864672,2859.616786760645
839,-2455,1314.062256,3804.509277,547.6429443,46.05140457,61.7580979,100.1533508,170.2465781,16.32517223,46.05140457,61.7580979,0.514503972,0.155000017,2233.70941,0.745673946,4217,53.71,1957.4351345273483,2836.9234451741972,81153.98545274287,2779.304709050646
839,-2455,1305.693115,3806.785645,509.5299377,46.30789357,61.37806179,100.0469666,169.9819228,16.44496678,46.30789357,61.37806179,0.520328093,0.155185171,2232.328366,0.754469793,4217,53.71,1980.7775151226251,2872.104777578522,80140.91269124758,2795.347073646525
839,-2455,1305.161743,3799.509277,469.9627991,46.79794556,61.24655409,98.23834991,170.4755216,16.81274631,46.79794556,61.24655409,0.534591852,0.170829056,2251.118351,0.764091078,4217,53.71,2031.186701082611,2903.1711393339306,79936.65928884817,2866.1616967257255
839,-2455,1308.670288,3795.640869,433.1920776,45.65176959,60.96855172,95.74157715,168.3440085,16.94896111,45.65176959,60.96855172,0.545546542,0.146717646,2186.016203,0.748775694,4217,53.71,2070.6987507568247,2842.083625860238,79787.73213835529,2853.256053168009
839,-2455,1315.887207,3800.197754,395.6559143,45.96383152,61.3178686,93.16194153,169.3817457,16.72826302,45.96383152,61.3178686,0.537513038,0.120439845,2213.569468,0.749599302,4217,53.71,2042.6558397533167,2848.6255838603674,80687.398851247,2833.462392856354
